slug,imageNumber,shotType,prompt,outputPath
"women-pea-coat-54","3","MODEL LIFESTYLE","lifestyle fashion photography, women's pea coat in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pea-coat-54/3.jpg"
"women-pea-coat-54","4","DETAIL MACRO","macro photography, extreme close-up detail shot of pea coat in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pea-coat-54/4.jpg"
"women-hooded-sweater-55","1","MODEL HERO","realistic fashion e-commerce photography, women's hooded sweater in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-hooded-sweater-55/1.jpg"
"women-hooded-sweater-55","2","PACKSHOT NO MODEL","professional product photography, hooded sweater in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-hooded-sweater-55/2.jpg"
"women-hooded-sweater-55","3","MODEL LIFESTYLE","lifestyle fashion photography, women's hooded sweater in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-hooded-sweater-55/3.jpg"
"women-hooded-sweater-55","4","DETAIL MACRO","macro photography, extreme close-up detail shot of hooded sweater in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-hooded-sweater-55/4.jpg"
"women-leather-skirt-56","1","MODEL HERO","realistic fashion e-commerce photography, women's leather skirt in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-leather-skirt-56/1.jpg"
"women-leather-skirt-56","2","PACKSHOT NO MODEL","professional product photography, leather skirt in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-leather-skirt-56/2.jpg"
"women-leather-skirt-56","3","MODEL LIFESTYLE","lifestyle fashion photography, women's leather skirt in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-leather-skirt-56/3.jpg"
"women-leather-skirt-56","4","DETAIL MACRO","macro photography, extreme close-up detail shot of leather skirt in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-leather-skirt-56/4.jpg"
"women-cotton-blazer-57","1","MODEL HERO","realistic fashion e-commerce photography, women's cotton blazer in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cotton-blazer-57/1.jpg"
"women-cotton-blazer-57","2","PACKSHOT NO MODEL","professional product photography, cotton blazer in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cotton-blazer-57/2.jpg"
"women-cotton-blazer-57","3","MODEL LIFESTYLE","lifestyle fashion photography, women's cotton blazer in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cotton-blazer-57/3.jpg"
"women-cotton-blazer-57","4","DETAIL MACRO","macro photography, extreme close-up detail shot of cotton blazer in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cotton-blazer-57/4.jpg"
"women-cropped-blazer-58","1","MODEL HERO","realistic fashion e-commerce photography, women's cropped blazer in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cropped-blazer-58/1.jpg"
"women-cropped-blazer-58","2","PACKSHOT NO MODEL","professional product photography, cropped blazer in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cropped-blazer-58/2.jpg"
"women-cropped-blazer-58","3","MODEL LIFESTYLE","lifestyle fashion photography, women's cropped blazer in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cropped-blazer-58/3.jpg"
"women-cropped-blazer-58","4","DETAIL MACRO","macro photography, extreme close-up detail shot of cropped blazer in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-cropped-blazer-58/4.jpg"
"women-chiffon-dress-59","1","MODEL HERO","realistic fashion e-commerce photography, women's chiffon dress in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chiffon-dress-59/1.jpg"
"women-chiffon-dress-59","2","PACKSHOT NO MODEL","professional product photography, chiffon dress in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chiffon-dress-59/2.jpg"
"women-chiffon-dress-59","3","MODEL LIFESTYLE","lifestyle fashion photography, women's chiffon dress in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chiffon-dress-59/3.jpg"
"women-chiffon-dress-59","4","DETAIL MACRO","macro photography, extreme close-up detail shot of chiffon dress in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chiffon-dress-59/4.jpg"
"women-wool-blend-trench-60","1","MODEL HERO","realistic fashion e-commerce photography, women's wool blend trench in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wool-blend-trench-60/1.jpg"
"women-wool-blend-trench-60","2","PACKSHOT NO MODEL","professional product photography, wool blend trench in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wool-blend-trench-60/2.jpg"
"women-wool-blend-trench-60","3","MODEL LIFESTYLE","lifestyle fashion photography, women's wool blend trench in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wool-blend-trench-60/3.jpg"
"women-wool-blend-trench-60","4","DETAIL MACRO","macro photography, extreme close-up detail shot of wool blend trench in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-wool-blend-trench-60/4.jpg"
"women-linen-shirt-61","1","MODEL HERO","realistic fashion e-commerce photography, women's linen shirt in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-linen-shirt-61/1.jpg"
"women-linen-shirt-61","2","PACKSHOT NO MODEL","professional product photography, linen shirt in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-linen-shirt-61/2.jpg"
"women-linen-shirt-61","3","MODEL LIFESTYLE","lifestyle fashion photography, women's linen shirt in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-linen-shirt-61/3.jpg"
"women-linen-shirt-61","4","DETAIL MACRO","macro photography, extreme close-up detail shot of linen shirt in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-linen-shirt-61/4.jpg"
"women-mom-jeans-62","1","MODEL HERO","realistic fashion e-commerce photography, women's mom jeans in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-mom-jeans-62/1.jpg"
"women-mom-jeans-62","2","PACKSHOT NO MODEL","professional product photography, mom jeans in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-mom-jeans-62/2.jpg"
"women-mom-jeans-62","3","MODEL LIFESTYLE","lifestyle fashion photography, women's mom jeans in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-mom-jeans-62/3.jpg"
"women-mom-jeans-62","4","DETAIL MACRO","macro photography, extreme close-up detail shot of mom jeans in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-mom-jeans-62/4.jpg"
"women-merino-wool-sweater-63","1","MODEL HERO","realistic fashion e-commerce photography, women's merino wool sweater in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-merino-wool-sweater-63/1.jpg"
"women-merino-wool-sweater-63","2","PACKSHOT NO MODEL","professional product photography, merino wool sweater in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-merino-wool-sweater-63/2.jpg"
"women-merino-wool-sweater-63","3","MODEL LIFESTYLE","lifestyle fashion photography, women's merino wool sweater in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-merino-wool-sweater-63/3.jpg"
"women-merino-wool-sweater-63","4","DETAIL MACRO","macro photography, extreme close-up detail shot of merino wool sweater in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-merino-wool-sweater-63/4.jpg"
"women-slim-fit-jeans-64","1","MODEL HERO","realistic fashion e-commerce photography, women's slim fit jeans in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-slim-fit-jeans-64/1.jpg"
"women-slim-fit-jeans-64","2","PACKSHOT NO MODEL","professional product photography, slim fit jeans in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-slim-fit-jeans-64/2.jpg"
"women-slim-fit-jeans-64","3","MODEL LIFESTYLE","lifestyle fashion photography, women's slim fit jeans in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-slim-fit-jeans-64/3.jpg"
"women-slim-fit-jeans-64","4","DETAIL MACRO","macro photography, extreme close-up detail shot of slim fit jeans in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-slim-fit-jeans-64/4.jpg"
"women-oversized-sweater-65","1","MODEL HERO","realistic fashion e-commerce photography, women's oversized sweater in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-sweater-65/1.jpg"
"women-oversized-sweater-65","2","PACKSHOT NO MODEL","professional product photography, oversized sweater in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-sweater-65/2.jpg"
"women-oversized-sweater-65","3","MODEL LIFESTYLE","lifestyle fashion photography, women's oversized sweater in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-sweater-65/3.jpg"
"women-oversized-sweater-65","4","DETAIL MACRO","macro photography, extreme close-up detail shot of oversized sweater in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-oversized-sweater-65/4.jpg"
"women-sundress-66","1","MODEL HERO","realistic fashion e-commerce photography, women's sundress in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sundress-66/1.jpg"
"women-sundress-66","2","PACKSHOT NO MODEL","professional product photography, sundress in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sundress-66/2.jpg"
"women-sundress-66","3","MODEL LIFESTYLE","lifestyle fashion photography, women's sundress in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sundress-66/3.jpg"
"women-sundress-66","4","DETAIL MACRO","macro photography, extreme close-up detail shot of sundress in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sundress-66/4.jpg"
"women-pencil-skirt-67","1","MODEL HERO","realistic fashion e-commerce photography, women's pencil skirt in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pencil-skirt-67/1.jpg"
"women-pencil-skirt-67","2","PACKSHOT NO MODEL","professional product photography, pencil skirt in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pencil-skirt-67/2.jpg"
"women-pencil-skirt-67","3","MODEL LIFESTYLE","lifestyle fashion photography, women's pencil skirt in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pencil-skirt-67/3.jpg"
"women-pencil-skirt-67","4","DETAIL MACRO","macro photography, extreme close-up detail shot of pencil skirt in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-pencil-skirt-67/4.jpg"
"women-chain-bag-68","1","MODEL HERO","realistic fashion e-commerce photography, women's chain bag in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chain-bag-68/1.jpg"
"women-chain-bag-68","2","PACKSHOT NO MODEL","professional product photography, chain bag in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chain-bag-68/2.jpg"
"women-chain-bag-68","3","MODEL LIFESTYLE","lifestyle fashion photography, women's chain bag in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chain-bag-68/3.jpg"
"women-chain-bag-68","4","DETAIL MACRO","macro photography, extreme close-up detail shot of chain bag in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-chain-bag-68/4.jpg"
"women-sweetheart-neck-69","1","MODEL HERO","realistic fashion e-commerce photography, women's sweetheart neck in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sweetheart-neck-69/1.jpg"
"women-sweetheart-neck-69","2","PACKSHOT NO MODEL","professional product photography, sweetheart neck in black color, ghost mannequin style, invisible mannequin technique, floating garment effect, neutral bone ivory background, professional e-commerce product shot, no model, no person, no human, flat lay style, studio lighting, Zara-like product photography, high fashion product photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sweetheart-neck-69/2.jpg"
"women-sweetheart-neck-69","3","MODEL LIFESTYLE","lifestyle fashion photography, women's sweetheart neck in black color, fashion model in natural urban setting, candid pose, authentic moment, soft natural lighting, neutral bone ivory background, editorial lifestyle aesthetic, high fashion, street style, Zara-like photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sweetheart-neck-69/3.jpg"
"women-sweetheart-neck-69","4","DETAIL MACRO","macro photography, extreme close-up detail shot of sweetheart neck in black color, fabric texture detail, material weave, Premium Materials, professional product detail photography, neutral bone ivory background, studio lighting, sharp focus, luxury fashion detail, textile close-up, Zara-like detail photography, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-sweetheart-neck-69/4.jpg"
"women-tunic-dress-70","1","MODEL HERO","realistic fashion e-commerce photography, women's tunic dress in black color, professional fashion model wearing the garment, neutral bone ivory background, professional studio lighting, Zara-like product photography, clean composition, high fashion aesthetic, editorial style, no text, no logos, no watermarks, --ar 4:5 --style raw --s 75 --q 1","public/images/products/women-tunic-dress-70/1.jpg"
